model,family,degree,penalty,C,log_loss_mean,log_loss_sd,auc_mean,auc_sd,accuracy_mean,f1_mean
ridge_poly3_C1,sklearn_regularized,3,l2,1,0.5799021110790963,0.08040489390851191,0.791926818488797,0.044741625933132724,0.7146666666666667,0.694640134802955
ridge_poly6_C0.3,sklearn_regularized,6,l2,0.3,0.58256205448189,0.0814920913196902,0.7880278682663276,0.05049697590192436,0.7240000000000001,0.7074244791455633
ridge_poly6_C0.01,sklearn_regularized,6,l2,0.01,0.5837059191762193,0.020603985351552345,0.8048760527570316,0.04447079368805385,0.7153333333333333,0.6667445841006503
lasso_poly3_C3,sklearn_regularized,3,l1,3,0.5873442111210971,0.08848270739123358,0.7893182653344987,0.04433072072703594,0.715,0.69543261286671
ridge_poly4_C0.01,sklearn_regularized,4,l2,0.01,0.5876631433520474,0.018471203742655738,0.8084889957095186,0.04399293594087567,0.7233333333333333,0.6776480642569364
ridge_poly5_C0.01,sklearn_regularized,5,l2,0.01,0.5888592644608494,0.020048453082380163,0.806948370212935,0.0460663129295445,0.7236666666666666,0.6786013951207626
ridge_poly3_C3,sklearn_regularized,3,l2,3,0.5940735778732297,0.0934367567656248,0.7873339673049421,0.04476689868919343,0.7126666666666667,0.6911914070729176
lasso_poly4_C1,sklearn_regularized,4,l1,1,0.5966247014293038,0.08746877388742512,0.7832615852931829,0.04905508949365669,0.7213333333333333,0.7051752045244633
lasso_poly3_C10,sklearn_regularized,3,l1,10,0.6002780364707457,0.10046600242069055,0.7859516774590816,0.045120324269713956,0.7123333333333334,0.6921289907280496
ridge_poly3_C10,sklearn_regularized,3,l2,10,0.6025680264506221,0.10174752562715965,0.7849937927061815,0.04544173516280128,0.7113333333333333,0.6908202281606967
lasso_poly3_C30,sklearn_regularized,3,l1,30,0.6048067436747347,0.10446570139361791,0.7847709508580962,0.04524150213556213,0.711,0.6904189664365454
ridge_poly3_C30,sklearn_regularized,3,l2,30,0.6056091929396424,0.10485680548477391,0.7845705049261084,0.04523403532367434,0.7106666666666667,0.6901871449222409
lasso_poly3_C100,sklearn_regularized,3,l1,100,0.6064807200295419,0.10593862068149414,0.7843251181868743,0.04517998229276597,0.7103333333333333,0.689961156221676
ridge_poly3_C100,sklearn_regularized,3,l2,100,0.6067624620377139,0.10608723071986738,0.7842806987923089,0.045215571881350294,0.7106666666666667,0.6901871449222409
