model,family,fold,degree,penalty,C,log_loss,auc,accuracy,f1
ridge_poly2_C30,sklearn_regularized,7,2,l2,30,0.5771254468227286,0.7767857142857143,0.75,0.6938775510204082
ridge_poly2_C100,sklearn_regularized,7,2,l2,100,0.577277409424786,0.7767857142857143,0.75,0.6938775510204082
ridge_poly3_C0.01,sklearn_regularized,7,3,l2,0.01,0.6227469368499138,0.7578124999999999,0.7333333333333333,0.68
ridge_poly3_C0.03,sklearn_regularized,7,3,l2,0.03,0.5924738418677347,0.7645089285714286,0.7166666666666667,0.6666666666666666
ridge_poly3_C0.1,sklearn_regularized,7,3,l2,0.1,0.568371829019488,0.7812499999999999,0.75,0.7058823529411765
ridge_poly3_C0.3,sklearn_regularized,7,3,l2,0.3,0.5638433774353401,0.7890625,0.75,0.7058823529411765
ridge_poly3_C1,sklearn_regularized,7,3,l2,1,0.5675413371070797,0.7868303571428571,0.75,0.7058823529411765
ridge_poly3_C3,sklearn_regularized,7,3,l2,3,0.5706576263140667,0.7868303571428571,0.75,0.7058823529411765
ridge_poly3_C10,sklearn_regularized,7,3,l2,10,0.5722536930366593,0.7845982142857143,0.75,0.7058823529411765
ridge_poly3_C30,sklearn_regularized,7,3,l2,30,0.5727163044525648,0.7857142857142857,0.75,0.7058823529411765
ridge_poly3_C100,sklearn_regularized,7,3,l2,100,0.5729455740794375,0.7845982142857142,0.75,0.7058823529411765
ridge_poly4_C0.01,sklearn_regularized,7,4,l2,0.01,0.5963454459208325,0.7935267857142857,0.75,0.6938775510204082
ridge_poly4_C0.03,sklearn_regularized,7,4,l2,0.03,0.5710680312520537,0.7946428571428572,0.7333333333333333,0.68
ridge_poly4_C0.1,sklearn_regularized,7,4,l2,0.1,0.5666543341638864,0.7924107142857142,0.75,0.6938775510204082
ridge_poly4_C0.3,sklearn_regularized,7,4,l2,0.3,0.5769798205115567,0.7845982142857142,0.7833333333333333,0.7450980392156863
ridge_poly4_C1,sklearn_regularized,7,4,l2,1,0.6006795832744681,0.7756696428571427,0.7333333333333333,0.7037037037037037
ridge_poly4_C3,sklearn_regularized,7,4,l2,3,0.6385661415262377,0.7734375,0.7166666666666667,0.7017543859649122
ridge_poly4_C10,sklearn_regularized,7,4,l2,10,0.6900166250652958,0.7689732142857143,0.7166666666666667,0.7017543859649122
ridge_poly4_C30,sklearn_regularized,7,4,l2,30,0.7262872918049996,0.7622767857142858,0.7166666666666667,0.7017543859649122
ridge_poly4_C100,sklearn_regularized,7,4,l2,100,0.7456462078688375,0.7589285714285714,0.7166666666666667,0.7017543859649122
ridge_poly5_C0.01,sklearn_regularized,7,5,l2,0.01,0.5990845495824045,0.7834821428571428,0.75,0.6938775510204082
ridge_poly5_C0.03,sklearn_regularized,7,5,l2,0.03,0.571315952170522,0.7968750000000001,0.7333333333333333,0.68
ridge_poly5_C0.1,sklearn_regularized,7,5,l2,0.1,0.5642376651505424,0.7946428571428572,0.75,0.6938775510204082
ridge_poly5_C0.3,sklearn_regularized,7,5,l2,0.3,0.5669969674100236,0.7890625,0.7833333333333333,0.7450980392156863
ridge_poly5_C1,sklearn_regularized,7,5,l2,1,0.5751063190026262,0.7834821428571428,0.7,0.6666666666666666
ridge_poly5_C3,sklearn_regularized,7,5,l2,3,0.5931230551794969,0.796875,0.7166666666666667,0.6909090909090909
ridge_poly5_C10,sklearn_regularized,7,5,l2,10,0.6342419888719568,0.7946428571428572,0.7333333333333333,0.7037037037037037
ridge_poly5_C30,sklearn_regularized,7,5,l2,30,0.6917755838783519,0.7845982142857142,0.7333333333333333,0.7037037037037037
ridge_poly5_C100,sklearn_regularized,7,5,l2,100,0.8212973457223149,0.7544642857142858,0.6833333333333333,0.6545454545454545
ridge_poly6_C0.01,sklearn_regularized,7,6,l2,0.01,0.5889700422774046,0.7868303571428571,0.75,0.6938775510204082
ridge_poly6_C0.03,sklearn_regularized,7,6,l2,0.03,0.5705464416565487,0.7890625,0.7333333333333333,0.68
ridge_poly6_C0.1,sklearn_regularized,7,6,l2,0.1,0.5655110590428623,0.7924107142857142,0.7666666666666667,0.72
ridge_poly6_C0.3,sklearn_regularized,7,6,l2,0.3,0.5689935308072045,0.7912946428571428,0.7666666666666667,0.7307692307692307
ridge_poly6_C1,sklearn_regularized,7,6,l2,1,0.5803413501361967,0.7890625000000001,0.7166666666666667,0.6909090909090909
ridge_poly6_C3,sklearn_regularized,7,6,l2,3,0.6002548469128666,0.796875,0.7333333333333333,0.7142857142857143
ridge_poly6_C10,sklearn_regularized,7,6,l2,10,0.6398421451319342,0.7868303571428572,0.7166666666666667,0.6909090909090909
ridge_poly6_C30,sklearn_regularized,7,6,l2,30,0.7101620294514389,0.7779017857142858,0.7166666666666667,0.6792452830188679
ridge_poly6_C100,sklearn_regularized,7,6,l2,100,1.2011311013358137,0.734375,0.6666666666666666,0.6
