model,terms,fold,log_loss,auc,accuracy,f1
hierarchical_selected,x1 + x2 + x3 + x1_sq + x2_x3,32,0.5876102000358859,0.7455357142857143,0.7333333333333333,0.7142857142857143
omit_x2_x3_main_effects,x1 + x1_sq + x2_x3,32,0.5925920454904231,0.7488839285714286,0.7333333333333333,0.7142857142857143
interaction_only_plus_mains,x1 + x2 + x3 + x2_x3,32,0.6116506275571161,0.7176339285714286,0.6833333333333333,0.6666666666666666
interaction_only_no_x2_x3_mains,x1 + x2_x3,32,0.6174854666826646,0.7243303571428571,0.7,0.6785714285714286
hierarchical_selected,x1 + x2 + x3 + x1_sq + x2_x3,33,0.43857514962711297,0.8783482142857143,0.7333333333333333,0.6923076923076923
omit_x2_x3_main_effects,x1 + x1_sq + x2_x3,33,0.4483283448021858,0.8850446428571429,0.7833333333333333,0.7450980392156863
interaction_only_plus_mains,x1 + x2 + x3 + x2_x3,33,0.4516547890926346,0.875,0.75,0.7058823529411765
interaction_only_no_x2_x3_mains,x1 + x2_x3,33,0.46132951288955487,0.8694196428571428,0.75,0.6938775510204082
hierarchical_selected,x1 + x2 + x3 + x1_sq + x2_x3,34,0.5206749857649141,0.8153503893214683,0.7166666666666667,0.7213114754098361
omit_x2_x3_main_effects,x1 + x1_sq + x2_x3,34,0.5089474620020735,0.8264738598442715,0.75,0.7540983606557377
interaction_only_plus_mains,x1 + x2 + x3 + x2_x3,34,0.5351146069387477,0.803114571746385,0.7,0.6896551724137931
interaction_only_no_x2_x3_mains,x1 + x2_x3,34,0.5232522861779321,0.8220244716351501,0.7333333333333333,0.7241379310344828
hierarchical_selected,x1 + x2 + x3 + x1_sq + x2_x3,35,0.5541753085123221,0.8042269187986653,0.7,0.6896551724137931
omit_x2_x3_main_effects,x1 + x1_sq + x2_x3,35,0.564018314678993,0.7997775305895439,0.7166666666666667,0.7017543859649122
interaction_only_plus_mains,x1 + x2 + x3 + x2_x3,35,0.54906903640999,0.796440489432703,0.7166666666666667,0.7017543859649122
