fold,log_loss,auc,accuracy,f1,model,n_optional_terms,optional_terms
2,0.5995752267156521,0.7533482142857143,0.6166666666666667,0.5660377358490566,main + x2_sq + x1_x3,2,"x2_sq, x1_x3"
3,0.6528488024169213,0.6941964285714286,0.6666666666666666,0.6296296296296297,main + x2_sq + x1_x3,2,"x2_sq, x1_x3"
4,0.6411765354809548,0.692992213570634,0.6,0.5714285714285714,main + x2_sq + x1_x3,2,"x2_sq, x1_x3"
5,0.6449367868177865,0.6585094549499444,0.5666666666666667,0.5,main + x2_sq + x1_x3,2,"x2_sq, x1_x3"
1,0.47976418454413994,0.8515625,0.75,0.7169811320754716,main + x2_sq + x2_x3,2,"x2_sq, x2_x3"
2,0.5222938599694084,0.8113839285714286,0.75,0.7368421052631579,main + x2_sq + x2_x3,2,"x2_sq, x2_x3"
3,0.5520265884953243,0.7868303571428571,0.7,0.6896551724137931,main + x2_sq + x2_x3,2,"x2_sq, x2_x3"
4,0.5790396809896732,0.7552836484983315,0.7,0.6666666666666666,main + x2_sq + x2_x3,2,"x2_sq, x2_x3"
5,0.5629543537894136,0.7819799777530589,0.7,0.6785714285714286,main + x2_sq + x2_x3,2,"x2_sq, x2_x3"
1,0.6516366817913056,0.7265625,0.6833333333333333,0.6885245901639344,main + x3_sq + x1_x2,2,"x3_sq, x1_x2"
2,0.6036416108247358,0.7410714285714286,0.65,0.6037735849056604,main + x3_sq + x1_x2,2,"x3_sq, x1_x2"
3,0.6261586492711889,0.703125,0.6333333333333333,0.5769230769230769,main + x3_sq + x1_x2,2,"x3_sq, x1_x2"
4,0.6502698114676873,0.6852057842046719,0.6333333333333333,0.6071428571428571,main + x3_sq + x1_x2,2,"x3_sq, x1_x2"
5,0.6442328284281007,0.6696329254727474,0.55,0.509090909090909,main + x3_sq + x1_x2,2,"x3_sq, x1_x2"
1,0.6298400785277856,0.7622767857142857,0.7,0.7,main + x3_sq + x1_x3,2,"x3_sq, x1_x3"
2,0.5989169140765721,0.7589285714285714,0.6666666666666666,0.6153846153846154,main + x3_sq + x1_x3,2,"x3_sq, x1_x3"
3,0.6380189661214286,0.6997767857142858,0.6166666666666667,0.5660377358490566,main + x3_sq + x1_x3,2,"x3_sq, x1_x3"
4,0.639497171394302,0.699666295884316,0.6666666666666666,0.6428571428571429,main + x3_sq + x1_x3,2,"x3_sq, x1_x3"
5,0.6392067933675933,0.664071190211346,0.5666666666666667,0.5185185185185185,main + x3_sq + x1_x3,2,"x3_sq, x1_x3"
1,0.46901885823442274,0.8660714285714286,0.7833333333333333,0.7547169811320755,main + x3_sq + x2_x3,2,"x3_sq, x2_x3"
2,0.5325608313924705,0.8035714285714286,0.7333333333333333,0.7142857142857143,main + x3_sq + x2_x3,2,"x3_sq, x2_x3"
3,0.5332479015037538,0.796875,0.7166666666666667,0.7017543859649122,main + x3_sq + x2_x3,2,"x3_sq, x2_x3"
4,0.5824800937109447,0.760845383759733,0.65,0.6181818181818182,main + x3_sq + x2_x3,2,"x3_sq, x2_x3"
5,0.5716139039570101,0.7875417130144604,0.7,0.6785714285714286,main + x3_sq + x2_x3,2,"x3_sq, x2_x3"
1,0.6549692522951394,0.7354910714285714,0.6666666666666666,0.6666666666666666,main + x1_x2 + x1_x3,2,"x1_x2, x1_x3"
2,0.5980403924873868,0.7488839285714286,0.6333333333333333,0.5925925925925926,main + x1_x2 + x1_x3,2,"x1_x2, x1_x3"
3,0.6440858788434263,0.6886160714285714,0.6333333333333333,0.5769230769230769,main + x1_x2 + x1_x3,2,"x1_x2, x1_x3"
4,0.6289699181506553,0.692992213570634,0.6,0.5714285714285714,main + x1_x2 + x1_x3,2,"x1_x2, x1_x3"
5,0.6406604562521327,0.6629588431590656,0.5666666666666667,0.5185185185185185,main + x1_x2 + x1_x3,2,"x1_x2, x1_x3"
1,0.48702928596104894,0.8571428571428572,0.7833333333333333,0.7636363636363637,main + x1_x2 + x2_x3,2,"x1_x2, x2_x3"
2,0.519885406986804,0.8214285714285714,0.7166666666666667,0.7017543859649122,main + x1_x2 + x2_x3,2,"x1_x2, x2_x3"
3,0.5447868305380276,0.7946428571428571,0.7,0.6785714285714286,main + x1_x2 + x2_x3,2,"x1_x2, x2_x3"
4,0.5755795584153751,0.7630700778642937,0.7,0.6666666666666666,main + x1_x2 + x2_x3,2,"x1_x2, x2_x3"
5,0.5588203809423054,0.7875417130144605,0.7,0.6785714285714286,main + x1_x2 + x2_x3,2,"x1_x2, x2_x3"
1,0.48267950323541964,0.8526785714285714,0.7833333333333333,0.7636363636363637,main + x1_x3 + x2_x3,2,"x1_x3, x2_x3"
2,0.5187846404536169,0.8214285714285714,0.75,0.7368421052631579,main + x1_x3 + x2_x3,2,"x1_x3, x2_x3"
3,0.5469851360131189,0.7946428571428572,0.7,0.6896551724137931,main + x1_x3 + x2_x3,2,"x1_x3, x2_x3"
4,0.5745138598825122,0.7575083426028921,0.7,0.6666666666666666,main + x1_x3 + x2_x3,2,"x1_x3, x2_x3"
5,0.5602376758384638,0.7864293659621803,0.6833333333333333,0.6545454545454545,main + x1_x3 + x2_x3,2,"x1_x3, x2_x3"
1,0.6366979432237164,0.7477678571428572,0.5666666666666667,0.6285714285714286,main + x1_sq + x2_sq + x3_sq,3,"x1_sq, x2_sq, x3_sq"
2,0.6023577863157031,0.7332589285714285,0.6666666666666666,0.6551724137931034,main + x1_sq + x2_sq + x3_sq,3,"x1_sq, x2_sq, x3_sq"
3,0.6157021364094045,0.6975446428571428,0.6666666666666666,0.6428571428571429,main + x1_sq + x2_sq + x3_sq,3,"x1_sq, x2_sq, x3_sq"
4,0.6813263652270212,0.6529477196885427,0.6,0.6129032258064516,main + x1_sq + x2_sq + x3_sq,3,"x1_sq, x2_sq, x3_sq"
5,0.6310830487263329,0.6718576195773082,0.6,0.6,main + x1_sq + x2_sq + x3_sq,3,"x1_sq, x2_sq, x3_sq"
1,0.6591375385747091,0.6808035714285714,0.5833333333333334,0.6376811594202898,main + x1_sq + x2_sq + x1_x2,3,"x1_sq, x2_sq, x1_x2"
2,0.6014389496006544,0.734375,0.65,0.6440677966101694,main + x1_sq + x2_sq + x1_x2,3,"x1_sq, x2_sq, x1_x2"
3,0.6176331353899713,0.6875,0.6666666666666666,0.6428571428571429,main + x1_sq + x2_sq + x1_x2,3,"x1_sq, x2_sq, x1_x2"
4,0.6652690529652194,0.6551724137931034,0.6333333333333333,0.6333333333333333,main + x1_sq + x2_sq + x1_x2,3,"x1_sq, x2_sq, x1_x2"
5,0.6334421250207962,0.6651835372636263,0.6166666666666667,0.6101694915254238,main + x1_sq + x2_sq + x1_x2,3,"x1_sq, x2_sq, x1_x2"
