fold,strategy,log_loss,brier_score,roc_auc,accuracy,balanced_accuracy,precision,recall,mean_predicted_probability,observed_prevalence
9,class_weight_balanced,1.007257863291854,0.16491093837331208,0.772,0.7833333333333333,0.63,0.36363636363636365,0.4,0.30176062493423456,0.16666666666666666
9,smote_ratio_0.5,0.9221650884624413,0.12755494148517008,0.783,0.8166666666666667,0.57,0.4,0.2,0.1751477541371158,0.16666666666666666
9,smote_ratio_1.0,0.46973965759042924,0.17119757732489455,0.7949999999999999,0.6,0.76,0.29411764705882354,1.0,0.3506717373575416,0.16666666666666666
10,none,1.192769948277005,0.1987628833558217,0.542,0.75,0.53,0.2222222222222222,0.2,0.18876623376623378,0.16666666666666666
10,class_weight_balanced,3.3900037941049823,0.2352439685420596,0.5509999999999999,0.6,0.56,0.20833333333333334,0.5,0.2668743981749845,0.16666666666666666
10,smote_ratio_0.5,2.2101638857993304,0.1896460545453263,0.652,0.7666666666666667,0.54,0.25,0.2,0.21245221027479086,0.16666666666666666
10,smote_ratio_1.0,2.7895812709179557,0.20804000442131754,0.6519999999999999,0.7,0.5800000000000001,0.25,0.4,0.2845622895622896,0.16666666666666666
11,none,0.9705391015113634,0.1356741508314099,0.6481481481481481,0.8166666666666667,0.4803921568627451,0.0,0.0,0.15377854903716975,0.15
11,class_weight_balanced,1.799570713880058,0.26509562007820936,0.6013071895424836,0.5833333333333334,0.5718954248366013,0.19230769230769232,0.5555555555555556,0.39293814586628345,0.15
11,smote_ratio_0.5,0.3954371886440998,0.1407457331165208,0.7745098039215685,0.7,0.7320261437908497,0.30434782608695654,0.7777777777777778,0.2407683560753736,0.15
11,smote_ratio_1.0,1.0596965162252643,0.18699402693444742,0.7363834422657951,0.7166666666666667,0.696078431372549,0.3,0.6666666666666666,0.2917769549034084,0.15
12,none,2.6871385871426243,0.15720665980911294,0.4836601307189543,0.8166666666666667,0.4803921568627451,0.0,0.0,0.11236892736892737,0.15
12,class_weight_balanced,2.912722077861543,0.24460283722820408,0.46623093681917216,0.6666666666666666,0.48366013071895425,0.13333333333333333,0.2222222222222222,0.3081521068143677,0.15
